name,location,latitude,longitude
SERM THAI COMPLEX MAHASARAKAM (DRIVE-THRU),"76/1-7 Nakornsawan Road, Talad, Muang Mahasarakam, Mahasarakam 44000",16.202585,103.276087
BIG C SUKSAWAT,"94 Moo 18 Bangpueng, Muang Prapradaeng, Samutprakarn 10130",13.653504,100.522166
"NIMMANHAEMIN ROAD, CHIANGMAI","32, 32/1 Nimmanhaemin Road, Suthep, Muang Chiangmai, Chiangmai 50000",18.798093,98.966534
THE PALLADIUM,"555 Ratchaprarob Road, Makkasan, Ratchathewi, Bangkok 10400",13.750172,100.541444
SILOM BUILDING 64,"Silom Building 64, Silom Rd., Suriyawong, Bangrak, Bangkok 10500",13.728283,100.53346
Active Park,"91/3 Moo 6, Banmai, Pakkred, Nonthaburi 11120",13.912859,100.542622
THE MALL THAPHRA,"99 The Mall Thonburi Shopping Center, B Floor, Ratchadapisek Rd., Bukkalo, Thonburi, Bangkok 10600",13.713579,100.47997
MARKET PLACE PRACHAUTID,"Room PCU03LS102, 71/2 Prachautid Rd., Thung Kru, Bangkok 10140",13.639474,100.500807
MARKET PLACE KRUNGTHEP KREETHA,"241/4 Krungthep Kreetha Road, Hua-Mark, Bangkapi, Bangkok 10240",13.749919,100.667534
Bangchak Saraburi,"510/41 Phaholyothin Road, Pakpreaw, Muang Saraburi, Saraburi 18000",14.53951,100.910391
IMPERIAL SAMRONG,"999 Sukhumvit Road, Sumrong Nua, Muang, Samutprakarn 10270",13.650215,100.596819
ESSO RAMA 4 (DRIVE-THRU),"2825/20 Rama 4 Road, Klongton, Klongtoey, Bangkok 10110",13.719771,100.566061
LOTUS 'S RAMA 3,"172 Narathiwat Ratchanakarin Road, Chongnonsi, Yannawa, Bangkok 10120",13.69636,100.541242
Lotus 's Prachachuen,"829 Pracharaj 2 Road, Bangsue, Bangkok 10800",13.875116,100.549101
"LAMAI BEACH , KOH SAMUI","128/49 Maret, Lamai Beach, Koh Samui, Suratthani 84310",9.465031,100.044433
LOTUS 'S BANGKAPI,"3109 Ladprao Road, Klongchan, Bangkapi, Bangkok 10240",13.767012,100.644368
THE AVENUE RATCHAYOTHIN (DRIVE-THRU),"234/2 Ratchadapisek Road, Ladyao, Chatuchak, Bangkok 10900",13.828211,100.566447
