store_uid,store_id,store_number,name,address,lat,lng,open_time,close_time,store_type,has_tx
388,2488,203208,Pizza Com Plearn Park,"Suanplern Market No.3654, Rama IV Rd., Klongton, Klongtoey, Bangkok 10110",13.7165900,100.5715600,10:00:00,22:00:00,DLC,False
278,1388,203073,Pizza Com Rama 4,"No.4322-4324 Rama 4 Rd., Prakhanong, Klongtoey, Bangkok 10110",13.7128110,100.5854330,10:00:00,00:30:00,DLC,True
245,1531,201085,Pizza Com Max Value Srinakarin,"Max Value Srinakarin No.2665 Srinakarin Rd., Suanluang, Suanluang, Bangkok 10250",13.7362150,100.6415330,10:00:00,22:00:00,RBD,False
313,1411,203087,Pizza Com People Park,"People Park Community Mall No.486 Soi Sukhumvit 77 (Soi Onnut 10), Sukhumvit Rd., Suanluang, Suanluang, Bangkok 10250",13.7120520,100.6080230,10:00:00,00:30:00,DLC,False
281,1305,203040,Pizza Com Jomthong,"No.73/131 Moo 1 Jomthong Rd., Jomthong, Jomthong, Bangkok 10150",13.6985380,100.4705830,10:00:00,22:00:00,DLC,False
1136,1249,203018,Pizza Com Donmuang,"No.310/86-87 Moo 3 Songprapa Rd., Srikan, Donmuang, Bongkok 10210",13.9251550,100.5942140,10:00:00,00:30:00,DLC,False
84,2679,272102,Pizza Com Center One,"Center One 3rd Floor, Room 302 No.1 Soi Lertpanya, Ratvithi Rd., Payathai, Ratthevi, Bangkok 10400",13.7640140,100.5393970,,,FSR,False
517,1326,203133,Pizza Com Pratunam,"No.651, 651/1 Soi Phetburi 15, Phetburi Rd., Phayathai, Rajtthewe, Bangkok 10400",13.7517280,100.5365300,10:00:00,00:30:00,DLC,False
1808,3569,272143,Pizza Com Pantip Plaza Pratunam,"1st Fl. Room 135-136 No.604/6 Phetchaburi Rd., Thanon Phetchaburi, Ratchathewi Bangkok 10400",13.7506200,100.5373800,,,FSR,False
1164,1435,203116,Pizza Com Lotus Ramintra,"Tesco Lotus Ramintra No.59 Praditmanutham Rd., Ladprao, Ladprao, Bangkok, 10260",13.8003380,100.6135600,10:00:00,22:00:00,DLC,False
489,2545,203210,Pizza Com Jas Wanghin,"Jas Wanghin Room A111, No.728 Ladprao-Wanghin Rd., Ladprao, Ladprao, Bangkok 10230",13.8234460,100.5922440,10:00:00,22:00:00,DLC,False
247,1764,201088,Pizza Com Nana Square,"Nana Square Room 1-15-18, No.49 Sukhumvit Rd., Klongtoei, Wattana, Bangkok 10110",13.7425110,100.5526700,10:00:00,00:30:00,RBD,False
