lat,lng,address,type,content
18.790922,98.9749,,dq,Nursing of Maharaj Nakorn Chiangmai
13.8227,100.4502,,dq,The Walk Ratchaphruek
13.661263,100.434087,,dq,Park Village Rama 2
15.111746,104.328579,,dq,"Soon Heng Plaza, Sisaket"
14.64808,104.635205,,dq,Lotus Kantharalak
15.121331,104.307465,,dq,Big C Sisaket
13.6871189,100.6018113,,dq,PTT Bangna Inbound
13.68613,100.604008,,dq,PTT Bangna Outbound
7.8902,98.3667,,dq,"Central Phuket Floresta, G fl."
13.5477959,100.2773209,,dq,Nampu Plaza Mahachai
12.70181,101.188463,,dq,PTT Auto One Rayong
13.7644,100.4704,,dq,Makro Charansanitwong
14.0222,99.976,,dq,Kasetsart University Kamphaeng Saen Campus
15.786842,102.0304,,dq,Robinson Chaiyaphum
15.4824894,102.3613,,dq,Tops Plaza
19.960146,99.8544,,dq,Big C Chiangrai
8.4576,99.9642,,dq,Big C Nakorn Si Thammarat
13.9693,100.6461,,dq,Nana Charoen Market
13.7362,100.6232,,dq,Bangchak Phatthanakan
12.7169,101.1655,,dq,Lotus maptaphut
13.7679,100.4068,,dq,The Paseo Park Kanchanapisek
14.2895,100.8173,,dq,PTT Innovation Wangnoi
10.0986,99.8299,,dq,Koh Tao
13.766,100.538,,dq,Victory Monument
13.7231,100.5215,,dq,CP Tower
14.5806,100.4608,,dq,Lotus Angthong
13.9206,100.6607,,dq,PTT Sai Mai
